"","xmean","xmeanhat","alphaMAP","betaMAP","PSEmap","JNDmap","NSub","model","cond","Exp"
"1",1000,1000,-1.07499793656537,0.00790885213737359,1135.92338279855,209.667350938009,1,"model1","PS","exp1"
"2",1000,1000,-0.716802415454037,0.00693880925587312,1103.30337512122,238.978766450451,2,"model1","PS","exp1"
"3",1000,1000,0.868885273121161,0.00562292585419329,845.474527736625,294.904844844595,3,"model1","PS","exp1"
"4",1000,1000,2.05290425521302,0.00763899055764687,731.259746988691,217.074240907864,4,"model1","PS","exp1"
"5",1000,1000,1.9130885882954,0.00636937833192314,699.642808355871,260.343787131083,5,"model1","PS","exp1"
"6",1000,1000,0.195588223664343,0.00659460229582712,970.341164653992,251.452324524985,6,"model1","PS","exp1"
"7",1000,1000,0.446908948108137,0.00752441215122296,940.605466696093,220.379751039291,7,"model1","PS","exp1"
"8",1000,1000,0.466002694419507,0.00749589727497444,937.832299813488,221.218089812895,8,"model1","PS","exp1"
"9",1000,1000,1.01038113227501,0.00981511087484052,897.058612464077,168.946443677385,9,"model1","PS","exp1"
"10",1000,1000,1.61568728306939,0.00911182417723564,822.682346405902,181.986399687818,10,"model1","PS","exp1"
"11",1000,1000,3.72055545031428,0.00981444328230221,620.910188861825,168.95793565731,11,"model1","PS","exp1"
"12",1000,1000,2.4685230216312,0.0107742325035363,770.886416195216,153.906839866252,12,"model1","PS","exp1"
"13",1000,1000,0.265372210434116,0.0105552771630132,974.858811726516,157.099434812961,13,"model1","PS","exp1"
"14",1000,1000,1.74046142400834,0.00865371191201145,798.876893325677,191.620439120684,14,"model1","PS","exp1"
"15",1000,1000,-0.30438568952392,0.00906750032211347,1033.56886448425,182.875987614746,15,"model1","PS","exp1"
"16",1000,1000,-1.07499793656537,0.00790885213737359,1135.92338279855,209.667350938009,1,"model1","NS","exp1"
"17",1000,1000,-0.716802415454037,0.00693880925587312,1103.30337512122,238.978766450451,2,"model1","NS","exp1"
"18",1000,1000,0.868885273121161,0.00562292585419329,845.474527736625,294.904844844595,3,"model1","NS","exp1"
"19",1000,1000,2.05290425521302,0.00763899055764687,731.259746988691,217.074240907864,4,"model1","NS","exp1"
"20",1000,1000,1.9130885882954,0.00636937833192314,699.642808355871,260.343787131083,5,"model1","NS","exp1"
"21",1000,1000,0.195588223664343,0.00659460229582712,970.341164653992,251.452324524985,6,"model1","NS","exp1"
"22",1000,1000,0.446908948108137,0.00752441215122296,940.605466696093,220.379751039291,7,"model1","NS","exp1"
"23",1000,1000,0.466002694419507,0.00749589727497444,937.832299813488,221.218089812895,8,"model1","NS","exp1"
"24",1000,1000,1.01038113227501,0.00981511087484052,897.058612464077,168.946443677385,9,"model1","NS","exp1"
"25",1000,1000,1.61568728306939,0.00911182417723564,822.682346405902,181.986399687818,10,"model1","NS","exp1"
"26",1000,1000,3.72055545031428,0.00981444328230221,620.910188861825,168.95793565731,11,"model1","NS","exp1"
"27",1000,1000,2.4685230216312,0.0107742325035363,770.886416195216,153.906839866252,12,"model1","NS","exp1"
"28",1000,1000,0.265372210434116,0.0105552771630132,974.858811726516,157.099434812961,13,"model1","NS","exp1"
"29",1000,1000,1.74046142400834,0.00865371191201145,798.876893325677,191.620439120684,14,"model1","NS","exp1"
"30",1000,1000,-0.30438568952392,0.00906750032211347,1033.56886448425,182.875987614746,15,"model1","NS","exp1"
"31",1000,1000,1.75540220047039,0.0108348700394123,837.985855475419,153.04549759911,1,"model1","DF","exp2"
"32",1000,1000,1.83373494075014,0.00764032387422584,759.992511975031,217.036359178105,2,"model1","DF","exp2"
"33",1000,1000,1.87301262573747,0.0110640866977501,830.712405198492,149.874826716672,3,"model1","DF","exp2"
"34",1000,1000,0.567990524415259,0.00900772398430787,936.944057632678,184.08957462421,4,"model1","DF","exp2"
"35",1000,1000,-0.113652408170606,0.0102742377648918,1011.0618822312,161.396700616554,5,"model1","DF","exp2"
"36",1000,1000,-2.0008233642532,0.0060798937931737,1329.08853876685,272.739645298629,6,"model1","DF","exp2"
"37",1000,1000,0.653831435627682,0.00789284054059424,917.161453818189,210.092686919871,7,"model1","DF","exp2"
"38",1000,1000,2.64744713334417,0.0136619796346387,806.21789783438,121.375387824415,8,"model1","DF","exp2"
"39",1000,1000,2.20393268510381,0.0121421270768624,818.488748210885,136.568170148984,9,"model1","DF","exp2"
"40",1000,1000,0.677316220696982,0.00189687340605682,642.930193161929,874.190165410472,10,"model1","DF","exp2"
"41",1000,1000,0.497372535898494,0.00660035949765397,924.644629421279,251.232993777526,11,"model1","DF","exp2"
"42",1000,1000,0.652514035844095,0.0120466284723579,945.834302324393,137.650802497022,12,"model1","DF","exp2"
"43",1000,1000,0.0292695214066495,0.00451794828643488,993.52150145354,367.031221136894,13,"model1","DF","exp2"
"44",1000,1000,1.66146389777982,0.00792280903114591,790.29358258563,209.297998990605,14,"model1","DF","exp2"
"45",1000,1000,-0.0276620621100068,0.00987948923110175,1002.79994860695,167.845527011988,15,"model1","DF","exp2"
"46",1000,1000,1.75540220047039,0.0108348700394123,837.985855475419,153.04549759911,1,"model1","AF","exp2"
"47",1000,1000,1.83373494075014,0.00764032387422584,759.992511975031,217.036359178105,2,"model1","AF","exp2"
"48",1000,1000,1.87301262573747,0.0110640866977501,830.712405198492,149.874826716672,3,"model1","AF","exp2"
"49",1000,1000,0.567990524415259,0.00900772398430787,936.944057632678,184.08957462421,4,"model1","AF","exp2"
"50",1000,1000,-0.113652408170606,0.0102742377648918,1011.0618822312,161.396700616554,5,"model1","AF","exp2"
"51",1000,1000,-2.0008233642532,0.0060798937931737,1329.08853876685,272.739645298629,6,"model1","AF","exp2"
"52",1000,1000,0.653831435627682,0.00789284054059424,917.161453818189,210.092686919871,7,"model1","AF","exp2"
"53",1000,1000,2.64744713334417,0.0136619796346387,806.21789783438,121.375387824415,8,"model1","AF","exp2"
"54",1000,1000,2.20393268510381,0.0121421270768624,818.488748210885,136.568170148984,9,"model1","AF","exp2"
"55",1000,1000,0.677316220696982,0.00189687340605682,642.930193161929,874.190165410472,10,"model1","AF","exp2"
"56",1000,1000,0.497372535898494,0.00660035949765397,924.644629421279,251.232993777526,11,"model1","AF","exp2"
"57",1000,1000,0.652514035844095,0.0120466284723579,945.834302324393,137.650802497022,12,"model1","AF","exp2"
"58",1000,1000,0.0292695214066495,0.00451794828643488,993.52150145354,367.031221136894,13,"model1","AF","exp2"
"59",1000,1000,1.66146389777982,0.00792280903114591,790.29358258563,209.297998990605,14,"model1","AF","exp2"
"60",1000,1000,-0.0276620621100068,0.00987948923110175,1002.79994860695,167.845527011988,15,"model1","AF","exp2"
"61",925,925,-0.041632785335455,0.0171666120549155,927.425218511508,96.596117585631,1,"model1","U-shaped","exp3"
"62",925,925,0.68529110373279,0.00910261356292275,849.714907537748,182.170545320952,2,"model1","U-shaped","exp3"
"63",925,925,0.695978901904087,0.0105035244803253,858.73853669711,157.873490913421,3,"model1","U-shaped","exp3"
"64",925,925,-0.0423196827930358,0.0112462743236341,928.762995777553,147.446881419099,4,"model1","U-shaped","exp3"
"65",925,925,-0.26788619301229,0.00776561368994158,959.496461414153,213.534711204004,5,"model1","U-shaped","exp3"
"66",925,925,1.07591250967912,0.0145726486806828,851.169049068936,113.790438028033,6,"model1","U-shaped","exp3"
"67",925,925,-1.21596554568268,0.00975537300762585,1049.64572546146,169.981001783046,7,"model1","U-shaped","exp3"
"68",925,925,0.21213406684698,0.0127753322206631,908.395025414379,129.799213669096,8,"model1","U-shaped","exp3"
"69",925,925,1.36006541906933,0.0113001810581989,804.642156876545,146.743496238089,9,"model1","U-shaped","exp3"
"70",925,925,0.241580268084011,0.0104841225992138,901.957512104816,158.165651051036,10,"model1","U-shaped","exp3"
"71",925,925,0.928481563711913,0.00738903321537141,799.343295442171,224.417461428366,11,"model1","U-shaped","exp3"
"72",925,925,2.25350984341148,0.0103439400508252,707.142023992907,160.309134474465,12,"model1","U-shaped","exp3"
"73",925,925,3.2106582251314,0.0147496904137949,707.323687137963,112.424602149795,13,"model1","U-shaped","exp3"
"74",925,925,1.42497817157381,0.00677084311756824,714.541989552758,244.907177409109,14,"model1","U-shaped","exp3"
"75",925,925,0.688312366966862,0.0145031227303327,877.540402521225,114.335933539017,15,"model1","U-shaped","exp3"
"76",925,925,-0.041632785335455,0.0171666120549155,927.425218511508,96.596117585631,1,"model1","I T-shaped","exp3"
"77",925,925,0.68529110373279,0.00910261356292275,849.714907537748,182.170545320952,2,"model1","I T-shaped","exp3"
"78",925,925,0.695978901904087,0.0105035244803253,858.73853669711,157.873490913421,3,"model1","I T-shaped","exp3"
"79",925,925,-0.0423196827930358,0.0112462743236341,928.762995777553,147.446881419099,4,"model1","I T-shaped","exp3"
"80",925,925,-0.26788619301229,0.00776561368994158,959.496461414153,213.534711204004,5,"model1","I T-shaped","exp3"
"81",925,925,1.07591250967912,0.0145726486806828,851.169049068936,113.790438028033,6,"model1","I T-shaped","exp3"
"82",925,925,-1.21596554568268,0.00975537300762585,1049.64572546146,169.981001783046,7,"model1","I T-shaped","exp3"
"83",925,925,0.21213406684698,0.0127753322206631,908.395025414379,129.799213669096,8,"model1","I T-shaped","exp3"
"84",925,925,1.36006541906933,0.0113001810581989,804.642156876545,146.743496238089,9,"model1","I T-shaped","exp3"
"85",925,925,0.241580268084011,0.0104841225992138,901.957512104816,158.165651051036,10,"model1","I T-shaped","exp3"
"86",925,925,0.928481563711913,0.00738903321537141,799.343295442171,224.417461428366,11,"model1","I T-shaped","exp3"
"87",925,925,2.25350984341148,0.0103439400508252,707.142023992907,160.309134474465,12,"model1","I T-shaped","exp3"
"88",925,925,3.2106582251314,0.0147496904137949,707.323687137963,112.424602149795,13,"model1","I T-shaped","exp3"
"89",925,925,1.42497817157381,0.00677084311756824,714.541989552758,244.907177409109,14,"model1","I T-shaped","exp3"
"90",925,925,0.688312366966862,0.0145031227303327,877.540402521225,114.335933539017,15,"model1","I T-shaped","exp3"
"91",888.285714285714,888.285714285714,-0.999549328833909,0.00852331587664619,1005.55806970465,194.551991337909,1,"model2","PS","exp1"
"92",888.285714285714,888.285714285714,-0.697673521836508,0.00765898629389851,979.37786343766,216.507513262499,2,"model2","PS","exp1"
"93",888.285714285714,888.285714285714,0.817415132507306,0.00593408079424359,750.5364720947,279.441439053562,3,"model2","PS","exp1"
"94",888.285714285714,888.285714285714,2.14713412911185,0.00903812607716957,650.721631777998,183.470341356738,4,"model2","PS","exp1"
"95",888.285714285714,888.285714285714,1.80704989282669,0.00678921218134391,622.120827321025,244.244550370687,5,"model2","PS","exp1"
"96",888.285714285714,888.285714285714,0.180166212599575,0.00652394009737237,860.669548301582,254.175858737791,6,"model2","PS","exp1"
"97",888.285714285714,888.285714285714,0.423879689635945,0.00786919941477964,834.420045455435,210.723860103114,7,"model2","PS","exp1"
"98",888.285714285714,888.285714285714,0.48323414245666,0.00878700130884586,833.291510293712,188.713762331433,8,"model2","PS","exp1"
"99",888.285714285714,888.285714285714,0.822024621475956,0.00872037779007009,794.020919655831,190.15553184998,9,"model2","PS","exp1"
"100",888.285714285714,888.285714285714,1.67540304698663,0.0106561853616965,731.062187280558,155.611789802757,10,"model2","PS","exp1"
"101",888.285714285714,888.285714285714,3.04997947099076,0.00879017082118926,541.309582304457,188.645716941731,11,"model2","PS","exp1"
"102",888.285714285714,888.285714285714,2.75963211345829,0.0138249832389917,688.673746173154,119.944310089773,12,"model2","PS","exp1"
"103",888.285714285714,888.285714285714,0.282028183218158,0.0116379517463745,864.05222463355,142.484529300451,13,"model2","PS","exp1"
"104",888.285714285714,888.285714285714,1.58655222119597,0.00915953904051688,715.072606707056,181.038376414842,14,"model2","PS","exp1"
"105",888.285714285714,888.285714285714,-0.327694259953952,0.0113301667172036,917.207994789882,146.355134747108,15,"model2","PS","exp1"
"106",1112,1112,-0.999549328833909,0.00852331587664619,1229.27235541894,194.551991337909,1,"model2","NS","exp1"
"107",1112,1112,-0.697673521836508,0.00765898629389851,1203.09214915195,216.507513262499,2,"model2","NS","exp1"
"108",1112,1112,0.817415132507306,0.00593408079424359,974.250757808986,279.441439053562,3,"model2","NS","exp1"
"109",1112,1112,2.14713412911185,0.00903812607716957,874.435917492284,183.470341356738,4,"model2","NS","exp1"
"110",1112,1112,1.80704989282669,0.00678921218134391,845.835113035311,244.244550370687,5,"model2","NS","exp1"
"111",1112,1112,0.180166212599575,0.00652394009737237,1084.38383401587,254.175858737791,6,"model2","NS","exp1"
"112",1112,1112,0.423879689635945,0.00786919941477964,1058.13433116972,210.723860103114,7,"model2","NS","exp1"
"113",1112,1112,0.48323414245666,0.00878700130884586,1057.005796008,188.713762331433,8,"model2","NS","exp1"
"114",1112,1112,0.822024621475956,0.00872037779007009,1017.73520537012,190.15553184998,9,"model2","NS","exp1"
"115",1112,1112,1.67540304698663,0.0106561853616965,954.776472994844,155.611789802757,10,"model2","NS","exp1"
"116",1112,1112,3.04997947099076,0.00879017082118926,765.023868018743,188.645716941731,11,"model2","NS","exp1"
"117",1112,1112,2.75963211345829,0.0138249832389917,912.38803188744,119.944310089773,12,"model2","NS","exp1"
"118",1112,1112,0.282028183218158,0.0116379517463745,1087.76651034784,142.484529300451,13,"model2","NS","exp1"
"119",1112,1112,1.58655222119597,0.00915953904051688,938.786892421341,181.038376414842,14,"model2","NS","exp1"
"120",1112,1112,-0.327694259953952,0.0113301667172036,1140.92228050417,146.355134747108,15,"model2","NS","exp1"
"121",1000,1000,1.75540220047039,0.0108348700394123,837.985855475419,153.04549759911,1,"model2","DF","exp2"
"122",1000,1000,1.83373494075014,0.00764032387422584,759.992511975031,217.036359178105,2,"model2","DF","exp2"
"123",1000,1000,1.87301262573747,0.0110640866977501,830.712405198492,149.874826716672,3,"model2","DF","exp2"
"124",1000,1000,0.567990524415259,0.00900772398430787,936.944057632678,184.08957462421,4,"model2","DF","exp2"
"125",1000,1000,-0.113652408170606,0.0102742377648918,1011.0618822312,161.396700616554,5,"model2","DF","exp2"
"126",1000,1000,-2.0008233642532,0.0060798937931737,1329.08853876685,272.739645298629,6,"model2","DF","exp2"
"127",1000,1000,0.653831435627682,0.00789284054059424,917.161453818189,210.092686919871,7,"model2","DF","exp2"
"128",1000,1000,2.64744713334417,0.0136619796346387,806.21789783438,121.375387824415,8,"model2","DF","exp2"
"129",1000,1000,2.20393268510381,0.0121421270768624,818.488748210885,136.568170148984,9,"model2","DF","exp2"
"130",1000,1000,0.677316220696982,0.00189687340605682,642.930193161929,874.190165410472,10,"model2","DF","exp2"
"131",1000,1000,0.497372535898494,0.00660035949765397,924.644629421279,251.232993777526,11,"model2","DF","exp2"
"132",1000,1000,0.652514035844095,0.0120466284723579,945.834302324393,137.650802497022,12,"model2","DF","exp2"
"133",1000,1000,0.0292695214066495,0.00451794828643488,993.52150145354,367.031221136894,13,"model2","DF","exp2"
"134",1000,1000,1.66146389777982,0.00792280903114591,790.29358258563,209.297998990605,14,"model2","DF","exp2"
"135",1000,1000,-0.0276620621100068,0.00987948923110175,1002.79994860695,167.845527011988,15,"model2","DF","exp2"
"136",1000,1000,1.75540220047039,0.0108348700394123,837.985855475419,153.04549759911,1,"model2","AF","exp2"
"137",1000,1000,1.83373494075014,0.00764032387422584,759.992511975031,217.036359178105,2,"model2","AF","exp2"
"138",1000,1000,1.87301262573747,0.0110640866977501,830.712405198492,149.874826716672,3,"model2","AF","exp2"
"139",1000,1000,0.567990524415259,0.00900772398430787,936.944057632678,184.08957462421,4,"model2","AF","exp2"
"140",1000,1000,-0.113652408170606,0.0102742377648918,1011.0618822312,161.396700616554,5,"model2","AF","exp2"
"141",1000,1000,-2.0008233642532,0.0060798937931737,1329.08853876685,272.739645298629,6,"model2","AF","exp2"
"142",1000,1000,0.653831435627682,0.00789284054059424,917.161453818189,210.092686919871,7,"model2","AF","exp2"
"143",1000,1000,2.64744713334417,0.0136619796346387,806.21789783438,121.375387824415,8,"model2","AF","exp2"
"144",1000,1000,2.20393268510381,0.0121421270768624,818.488748210885,136.568170148984,9,"model2","AF","exp2"
"145",1000,1000,0.677316220696982,0.00189687340605682,642.930193161929,874.190165410472,10,"model2","AF","exp2"
"146",1000,1000,0.497372535898494,0.00660035949765397,924.644629421279,251.232993777526,11,"model2","AF","exp2"
"147",1000,1000,0.652514035844095,0.0120466284723579,945.834302324393,137.650802497022,12,"model2","AF","exp2"
"148",1000,1000,0.0292695214066495,0.00451794828643488,993.52150145354,367.031221136894,13,"model2","AF","exp2"
"149",1000,1000,1.66146389777982,0.00792280903114591,790.29358258563,209.297998990605,14,"model2","AF","exp2"
"150",1000,1000,-0.0276620621100068,0.00987948923110175,1002.79994860695,167.845527011988,15,"model2","AF","exp2"
"151",925,925,-0.041632785335455,0.0171666120549155,927.425218511508,96.596117585631,1,"model2","U-shaped","exp3"
"152",925,925,0.68529110373279,0.00910261356292275,849.714907537748,182.170545320952,2,"model2","U-shaped","exp3"
"153",925,925,0.695978901904087,0.0105035244803253,858.73853669711,157.873490913421,3,"model2","U-shaped","exp3"
"154",925,925,-0.0423196827930358,0.0112462743236341,928.762995777553,147.446881419099,4,"model2","U-shaped","exp3"
"155",925,925,-0.26788619301229,0.00776561368994158,959.496461414153,213.534711204004,5,"model2","U-shaped","exp3"
"156",925,925,1.07591250967912,0.0145726486806828,851.169049068936,113.790438028033,6,"model2","U-shaped","exp3"
"157",925,925,-1.21596554568268,0.00975537300762585,1049.64572546146,169.981001783046,7,"model2","U-shaped","exp3"
"158",925,925,0.21213406684698,0.0127753322206631,908.395025414379,129.799213669096,8,"model2","U-shaped","exp3"
"159",925,925,1.36006541906933,0.0113001810581989,804.642156876545,146.743496238089,9,"model2","U-shaped","exp3"
"160",925,925,0.241580268084011,0.0104841225992138,901.957512104816,158.165651051036,10,"model2","U-shaped","exp3"
"161",925,925,0.928481563711913,0.00738903321537141,799.343295442171,224.417461428366,11,"model2","U-shaped","exp3"
"162",925,925,2.25350984341148,0.0103439400508252,707.142023992907,160.309134474465,12,"model2","U-shaped","exp3"
"163",925,925,3.2106582251314,0.0147496904137949,707.323687137963,112.424602149795,13,"model2","U-shaped","exp3"
"164",925,925,1.42497817157381,0.00677084311756824,714.541989552758,244.907177409109,14,"model2","U-shaped","exp3"
"165",925,925,0.688312366966862,0.0145031227303327,877.540402521225,114.335933539017,15,"model2","U-shaped","exp3"
"166",925,925,-0.041632785335455,0.0171666120549155,927.425218511508,96.596117585631,1,"model2","I T-shaped","exp3"
"167",925,925,0.68529110373279,0.00910261356292275,849.714907537748,182.170545320952,2,"model2","I T-shaped","exp3"
"168",925,925,0.695978901904087,0.0105035244803253,858.73853669711,157.873490913421,3,"model2","I T-shaped","exp3"
"169",925,925,-0.0423196827930358,0.0112462743236341,928.762995777553,147.446881419099,4,"model2","I T-shaped","exp3"
"170",925,925,-0.26788619301229,0.00776561368994158,959.496461414153,213.534711204004,5,"model2","I T-shaped","exp3"
"171",925,925,1.07591250967912,0.0145726486806828,851.169049068936,113.790438028033,6,"model2","I T-shaped","exp3"
"172",925,925,-1.21596554568268,0.00975537300762585,1049.64572546146,169.981001783046,7,"model2","I T-shaped","exp3"
"173",925,925,0.21213406684698,0.0127753322206631,908.395025414379,129.799213669096,8,"model2","I T-shaped","exp3"
"174",925,925,1.36006541906933,0.0113001810581989,804.642156876545,146.743496238089,9,"model2","I T-shaped","exp3"
"175",925,925,0.241580268084011,0.0104841225992138,901.957512104816,158.165651051036,10,"model2","I T-shaped","exp3"
"176",925,925,0.928481563711913,0.00738903321537141,799.343295442171,224.417461428366,11,"model2","I T-shaped","exp3"
"177",925,925,2.25350984341148,0.0103439400508252,707.142023992907,160.309134474465,12,"model2","I T-shaped","exp3"
"178",925,925,3.2106582251314,0.0147496904137949,707.323687137963,112.424602149795,13,"model2","I T-shaped","exp3"
"179",925,925,1.42497817157381,0.00677084311756824,714.541989552758,244.907177409109,14,"model2","I T-shaped","exp3"
"180",925,925,0.688312366966862,0.0145031227303327,877.540402521225,114.335933539017,15,"model2","I T-shaped","exp3"
"181",888.285714285714,888.285714285714,-0.999549328833909,0.00852331587664619,1005.55806970465,194.551991337909,1,"model3","PS","exp1"
"182",888.285714285714,888.285714285714,-0.697673521836508,0.00765898629389851,979.37786343766,216.507513262499,2,"model3","PS","exp1"
"183",888.285714285714,888.285714285714,0.817415132507306,0.00593408079424359,750.5364720947,279.441439053562,3,"model3","PS","exp1"
"184",888.285714285714,888.285714285714,2.14713412911185,0.00903812607716957,650.721631777998,183.470341356738,4,"model3","PS","exp1"
"185",888.285714285714,888.285714285714,1.80704989282669,0.00678921218134391,622.120827321025,244.244550370687,5,"model3","PS","exp1"
"186",888.285714285714,888.285714285714,0.180166212599575,0.00652394009737237,860.669548301582,254.175858737791,6,"model3","PS","exp1"
"187",888.285714285714,888.285714285714,0.423879689635945,0.00786919941477964,834.420045455435,210.723860103114,7,"model3","PS","exp1"
"188",888.285714285714,888.285714285714,0.48323414245666,0.00878700130884586,833.291510293712,188.713762331433,8,"model3","PS","exp1"
"189",888.285714285714,888.285714285714,0.822024621475956,0.00872037779007009,794.020919655831,190.15553184998,9,"model3","PS","exp1"
"190",888.285714285714,888.285714285714,1.67540304698663,0.0106561853616965,731.062187280558,155.611789802757,10,"model3","PS","exp1"
"191",888.285714285714,888.285714285714,3.04997947099076,0.00879017082118926,541.309582304457,188.645716941731,11,"model3","PS","exp1"
"192",888.285714285714,888.285714285714,2.75963211345829,0.0138249832389917,688.673746173154,119.944310089773,12,"model3","PS","exp1"
"193",888.285714285714,888.285714285714,0.282028183218158,0.0116379517463745,864.05222463355,142.484529300451,13,"model3","PS","exp1"
"194",888.285714285714,888.285714285714,1.58655222119597,0.00915953904051688,715.072606707056,181.038376414842,14,"model3","PS","exp1"
"195",888.285714285714,888.285714285714,-0.327694259953952,0.0113301667172036,917.207994789882,146.355134747108,15,"model3","PS","exp1"
"196",1112,1112,-0.999549328833909,0.00852331587664619,1229.27235541894,194.551991337909,1,"model3","NS","exp1"
"197",1112,1112,-0.697673521836508,0.00765898629389851,1203.09214915195,216.507513262499,2,"model3","NS","exp1"
"198",1112,1112,0.817415132507306,0.00593408079424359,974.250757808986,279.441439053562,3,"model3","NS","exp1"
"199",1112,1112,2.14713412911185,0.00903812607716957,874.435917492284,183.470341356738,4,"model3","NS","exp1"
"200",1112,1112,1.80704989282669,0.00678921218134391,845.835113035311,244.244550370687,5,"model3","NS","exp1"
"201",1112,1112,0.180166212599575,0.00652394009737237,1084.38383401587,254.175858737791,6,"model3","NS","exp1"
"202",1112,1112,0.423879689635945,0.00786919941477964,1058.13433116972,210.723860103114,7,"model3","NS","exp1"
"203",1112,1112,0.48323414245666,0.00878700130884586,1057.005796008,188.713762331433,8,"model3","NS","exp1"
"204",1112,1112,0.822024621475956,0.00872037779007009,1017.73520537012,190.15553184998,9,"model3","NS","exp1"
"205",1112,1112,1.67540304698663,0.0106561853616965,954.776472994844,155.611789802757,10,"model3","NS","exp1"
"206",1112,1112,3.04997947099076,0.00879017082118926,765.023868018743,188.645716941731,11,"model3","NS","exp1"
"207",1112,1112,2.75963211345829,0.0138249832389917,912.38803188744,119.944310089773,12,"model3","NS","exp1"
"208",1112,1112,0.282028183218158,0.0116379517463745,1087.76651034784,142.484529300451,13,"model3","NS","exp1"
"209",1112,1112,1.58655222119597,0.00915953904051688,938.786892421341,181.038376414842,14,"model3","NS","exp1"
"210",1112,1112,-0.327694259953952,0.0113301667172036,1140.92228050417,146.355134747108,15,"model3","NS","exp1"
"211",800,800,1.34567372611648,0.0100161526073158,665.649638251957,165.555392535889,1,"model3","DF","exp2"
"212",800,800,1.62948073309067,0.00854042132577468,609.203706593145,194.16232681625,2,"model3","DF","exp2"
"213",800,800,1.11231836869432,0.00795067142803265,660.097555437585,208.564533399898,3,"model3","DF","exp2"
"214",800,800,0.581395404071966,0.0119122748462932,751.193587154944,139.203309023678,4,"model3","DF","exp2"
"215",800,800,-0.0763725908597961,0.00794485304386445,809.612838706787,208.717274875729,5,"model3","DF","exp2"
"216",800,800,-2.04937502244589,0.00758367799705739,1070.23497348399,218.657500654294,6,"model3","DF","exp2"
"217",800,800,0.643358386904572,0.00961015508457449,733.054317933199,172.549564706318,7,"model3","DF","exp2"
"218",800,800,1.26255676245558,0.00796910759949575,641.56861396432,208.082028746664,8,"model3","DF","exp2"
"219",800,800,1.38241416541128,0.0091128828867457,648.301115838772,181.965257011626,9,"model3","DF","exp2"
"220",800,800,0.694864375247995,0.00250064204739815,522.125613311597,663.120928614661,10,"model3","DF","exp2"
"221",800,800,0.478658421030602,0.00781731925851533,738.769493070249,212.122342937093,11,"model3","DF","exp2"
"222",800,800,0.488746698663036,0.0116529283287085,758.058036153973,142.30140526294,12,"model3","DF","exp2"
"223",800,800,0.0264654088981097,0.00896317598506961,797.047317943752,185.00452064823,13,"model3","DF","exp2"
"224",800,800,1.59198441481697,0.00981693895254013,637.832910797001,168.914983032921,14,"model3","DF","exp2"
"225",800,800,-0.0136639857450309,0.00971667037258222,801.406241564352,170.658056002661,15,"model3","DF","exp2"
"226",1200,1200,1.34567372611648,0.0100161526073158,1065.64963825196,165.555392535889,1,"model3","AF","exp2"
"227",1200,1200,1.62948073309067,0.00854042132577468,1009.20370659315,194.16232681625,2,"model3","AF","exp2"
"228",1200,1200,1.11231836869432,0.00795067142803265,1060.09755543758,208.564533399898,3,"model3","AF","exp2"
"229",1200,1200,0.581395404071966,0.0119122748462932,1151.19358715494,139.203309023678,4,"model3","AF","exp2"
"230",1200,1200,-0.0763725908597961,0.00794485304386445,1209.61283870679,208.717274875729,5,"model3","AF","exp2"
"231",1200,1200,-2.04937502244589,0.00758367799705739,1470.23497348399,218.657500654294,6,"model3","AF","exp2"
"232",1200,1200,0.643358386904572,0.00961015508457449,1133.0543179332,172.549564706318,7,"model3","AF","exp2"
"233",1200,1200,1.26255676245558,0.00796910759949575,1041.56861396432,208.082028746664,8,"model3","AF","exp2"
