"","cond","NSub","jnd","pse","slope"
"1","PS",1,128.315726820572,1079.64395049965,2.63872688905038
"2","PS",2,105.319155420821,1032.56035883889,2.70011167494935
"3","PS",3,183.720101883055,816.774483139682,2.49650608104833
"4","PS",4,100.547278529976,663.981394982773,2.71302706627462
"5","PS",5,141.698694524843,656.080053580603,2.60364814472492
"6","PS",6,184.190164183784,991.041809023331,2.49533284342508
"7","PS",7,135.671499382836,908.160462085291,2.61938822679816
"8","PS",8,135.061608235803,862.864270845684,2.62098625575064
"9","PS",9,113.85965339315,922.209137600301,2.67714957014052
"10","PS",10,96.3361932995556,760.62707547603,2.72447594366358
"11","PS",11,95.2432987157899,619.315282257777,2.72745513634125
"12","PS",12,68.836077545012,698.910569361398,2.80043905745731
"13","PS",13,75.2227156242992,921.246978338606,2.78261065909854
"14","PS",14,121.874830882153,774.832182956721,2.65577750603193
"15","PS",15,66.2002666796515,929.48320708042,2.8078302217291
"16","NS",1,129.137419581478,1178.60138183644,2.63655955683019
"17","NS",2,184.881413465913,1142.96464689405,2.49360854241797
"18","NS",3,199.66448931714,887.122359785991,2.45701647623515
"19","NS",4,145.70416397593,830.942646699481,2.59324016994762
"20","NS",5,184.76523622926,770.275107571999,2.49389825979668
"21","NS",6,154.721573075503,959.81400201203,2.56996097917791
"22","NS",7,148.957607922692,971.49856793988,2.58481691813296
"23","NS",8,123.127297558048,1026.78546268341,2.65245331536061
"24","NS",9,105.434524136661,859.339704532065,2.69980018450126
"25","NS",10,111.913152111754,900.200788889217,2.68236572018372
"26","NS",11,114.385083836946,614.876831224509,2.67574328373897
"27","NS",12,74.3326811349887,883.553366391774,2.78508838102088
"28","NS",13,102.164695492874,1024.24476935794,2.70864251705482
"29","NS",14,118.171261204915,839.742396238896,2.66563159947002
"30","NS",15,114.807727610728,1123.70658877425,2.67461263644721
"31","DF",1,82.2260250435934,778.936553420024,1.37668128273614
"32","DF",2,105.453910276465,695.14491705274,1.49700638648191
"33","DF",3,64.3973326502023,815.098815322695,1.32778676992313
"34","DF",4,53.667836751547,815.717824121319,1.32696511256266
"35","DF",5,95.5737288499958,998.908394864104,1.10484371856447
"36","DF",6,123.298527697367,1158.0529216096,0.942291473003746
"37","DF",7,76.3255043128214,811.175926663868,1.33300575964907
"38","DF",8,72.7267631867149,813.68204230608,1.32966927561733
"39","DF",9,80.9658110934868,785.984204796024,1.36701302228211
"40","DF",10,405.556395975533,564.933455037223,1.70519390856238
"41","DF",11,119.541171182842,828.675958368801,1.30988104834388
"42","DF",12,62.3884797156474,865.020444308127,1.2631288338229
"43","DF",13,116.381379450941,744.483094349026,1.424939268647
"44","DF",14,78.4291371723453,702.718151915845,1.48571202692552
"45","DF",15,88.0600006494533,929.073243105433,1.18475860569641
"46","AF",1,89.3346806930806,910.797753355796,1.20660971110313
"47","AF",2,135.735237482284,864.817237245084,1.2633855366045
"48","AF",3,126.828031315954,829.622517909272,1.3086417545659
"49","AF",4,103.416509981228,1066.63340896323,1.03249569846098
"50","AF",5,109.354577098447,1025.18602714156,1.07618917719893
"51","AF",6,151.787306914371,1411.19073047417,0.731558241946161
"52","AF",7,135.032801397756,1023.6811743638,1.07780990264237
"53","AF",8,75.2589871160524,792.501713007242,1.3581324746412
"54","AF",9,81.6281832243522,854.018845838623,1.2771019926727
"55","AF",10,505.161431501801,866.766546753854,1.26092520591682
"56","AF",11,157.122671159077,1026.72440510404,1.07453486429079
"57","AF",12,71.5724683806831,1034.95567790401,1.06572637695487
"58","AF",13,107.207512206532,1254.23371389838,0.855883144811127
"59","AF",14,134.774337409171,919.605481281213,1.19602888597154
"60","AF",15,97.4610346741777,1076.08965537335,1.02277818274256
"61","U-shaped",1,64.4703944941718,943.794934135244,1.16744471314634
"62","U-shaped",2,127.542618599802,772.972732373332,1.38491609460949
"63","U-shaped",3,70.6191527712196,1176.81611546272,0.924775913222035
"64","U-shaped",4,116.997618364009,910.291583255554,1.20722061545926
"65","U-shaped",5,139.934766701707,887.73449133897,1.23476145469373
"66","U-shaped",6,50.7599321320032,737.593440956551,1.43479050314126
"67","U-shaped",7,132.541051170598,938.179131045843,1.17401929627659
"68","U-shaped",8,81.6626985804087,770.173858292229,1.3887977299415
"69","U-shaped",9,97.375089621584,765.87300262068,1.39478361151439
"70","U-shaped",10,123.11027237855,980.817858534252,1.12501281886019
"71","U-shaped",11,152.850108126417,774.76618654569,1.38243453700633
"72","U-shaped",12,122.045648275451,745.941320340128,1.42286289944542
"73","U-shaped",13,104.190549290186,861.558141531107,1.26750974794118
"74","U-shaped",14,213.639710264447,807.468580998845,1.33795684479477
"75","U-shaped",15,78.5779621392285,870.931784462964,1.25568407555513
"76","I T-shaped",1,56.5127495930524,927.774028536005,1.18629886168304
"77","I T-shaped",2,85.4703957730635,871.719088573784,1.25469585938492
"78","I T-shaped",3,61.4975310477793,846.73301982316,1.28644071443552
"79","I T-shaped",4,83.0722643064283,931.268048349741,1.18216114280069
"80","I T-shaped",5,160.646016283221,981.536087454187,1.12420509221943
"81","I T-shaped",6,62.110312532918,866.994878586989,1.26063732942004
"82","I T-shaped",7,95.6807814055383,1054.27438263674,1.04533552039385
"83","I T-shaped",8,68.5422638435447,920.664485799132,1.19476295640861
"84","I T-shaped",9,75.6518437161412,830.691152379117,1.30724404183331
"85","I T-shaped",10,81.8621392109435,895.29226885342,1.22546457844994
"86","I T-shaped",11,135.378432051402,813.216526440075,1.33028840185703
"87","I T-shaped",12,109.592723877811,685.4740848683,1.51155391399363
"88","I T-shaped",13,51.0588439378831,696.939679586282,1.49432202512314
"89","I T-shaped",14,96.3157379867767,761.109556624505,1.40144343719132
"90","I T-shaped",15,72.1726592139951,877.412405318486,1.24757277466847
